simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
447	2.7486114	1.192453	0.60684177	692.15251	2.4183532	2.0870631	0.00094495621	0.3597113	4.607706069946289	-1.0709575414657593	1029194494	562165141	1029194494.541581
455	2.7284764	-0.1937095	3.049122	1509.3057	2.3026925	1.5028716	0.037196143	0.040985605	4.0217437744140625	2.7410857677459717	1026900413	326941609	1026900413.342084
456	3.4829313	0.59753761	2.9313987	451.90006	1.9472887	1.5331311	0.09475969	0.27104036	3.5523056983947754	1.9421703815460205	1008333985	841132879	1008333985.822625
458	4.4282994	-0.1798959	0.57349225	884.59452	2.1347778	2.0003852	0.039459996	0.12589905	2.441896915435791	1.3962682485580444	1009685073	750061989	1009685073.76431
471	0.0075715341	-1.0562929	0.5493295	995.66	1.5525094	1.5308985	-0.089107994	0.13296457	4.329127788543701	-1.467694878578186	1021247943	612267613	1021247943.626559
481	0.99768505	0.62898513	0.77175986	760.62769	1.586449	1.5760257	0.13593275	0.19276928	0.32981929183006287	2.1214182376861572	1025624227	956337810	1025624227.931746
482	0.58497306	-0.34198327	0.40741627	1704.9931	2.9924609	2.3671476	-0.042654584	-0.0075082613	5.964354991912842	0.2524687945842743	1022831459	580064416	1022831459.588653
487	4.9871841	-0.83923473	0.71286959	954.15093	2.0482451	1.7079994	-0.14003305	0.10880208	0.4105353355407715	-0.11216337233781815	1008557575	877488494	1008557575.889986
489	2.6168888	0.47624437	2.0667969	192.42448	1.5920447	1.485679	-0.29189419	-0.0080474656	5.470990180969238	1.2616740465164185	1025363526	875817776	1025363526.872806
491	2.0137616	0.39118445	0.37948736	696.24605	1.7548373	1.4115036	-0.24248012	0.14281664	4.136040210723877	-1.0030183792114258	1020477533	800835609	1020477533.783187
499	1.9847734	-0.43976246	2.2171444	457.78052	2.9238465	2.5491369	0.065250919	-0.38965886	4.819525241851807	-1.2021727561950684	1017039369	60451984	1017039369.066838
502	4.1753843	0.72089916	2.9769309	801.5243	2.6706999	1.6980898	0.06295524	0.022476486	5.156715393066406	2.436450242996216	1010967041	860016704	1010967041.853657
