simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
596	4.1121145	0.52192537	2.5874748	529.55988	1.9344682	1.6934476	0.12207964	-0.21863537	1028948609.311263	1028948609	329638600
604	0.49147205	-0.14818532	2.1112503	181.64232	2.0576517	2.010432	0.0040992032	0.0028493289	1011917070.221281	1011917070	232873797
611	0.99330731	0.31368211	0.76253823	134.7858	1.9859793	1.4241691	-0.20558134	-0.171341	1023775964.902202	1023775964	916448593
614	4.9609265	-0.56979029	0.70194091	450.16669	1.590359	1.5629399	-0.22153434	-0.012759507	1005211660.782021	1005211660	766391397
633	4.4465907	-0.52462484	2.1040702	196.3914	1.4539391	1.386137	0.00054370047	-0.081608046	1003666963.322381	1003666963	306642175
650	5.3297877	-0.45971121	2.6898596	818.77531	2.5043018	1.7972883	0.0042101231	-0.091277134	1005319317.224122	1005319317	219093084
652	0.99306268	0.41354738	2.9388185	231.19153	1.5526508	1.3121121	-0.06194781	-0.052100267	1005275718.532606	1005275718	544019580
663	1.7323155	1.0728166	3.054899	405.13412	1.5878152	1.5255907	-0.021794206	-0.040022461	1017697690.734153	1017697690	749911070
682	5.9633704	-0.38393272	0.38813054	397.511	2.8786837	2.4261138	0.14946072	0.0071775039	1000988681.313494	1000988681	302495956
687	5.0504573	0.92882725	0.17802614	195.20724	1.4263841	1.3977971	-0.14365243	0.18876805	1018865718.925436	1018865718	943194747
697	4.9000955	0.18442283	2.34044	509.28549	1.5445893	1.3049469	0.031509044	-0.06158849	1004031391.976904	1004031391	959455013
700	2.4027929	-0.57929629	0.52407159	309.3639	2.3215538	2.2010525	-0.020668954	-0.025829257	1009092978.871079	1009092978	877324224
708	1.4443232	1.4080638	1.220788	8488.5849	6.4104787	5.5285534	0.072911304	0.37885712	1006020961.986555	1006020962	13945937
709	0.57076351	-0.26543776	0.27121046	468.07337	2.2819433	2.2207765	-0.0051119283	0.0084599045	1024227146.443864	1024227146	452603936
711	0.46548894	-0.42124342	2.262494	405.49179	1.4992438	1.4382125	-0.16881468	-0.052414129	1007221651.638923	1007221651	630586982
713	1.7106052	-0.832744	2.344923	669.27484	1.7672325	1.2420543	-0.24313437	0.076130516	1005848432.10081	1005848432	102134943
717	5.4450103	-0.47040831	1.298153	136.60021	2.3259129	1.249371	-0.057809797	0.0061457956	1002862104.776942	1002862104	781793237
724	4.4295417	-0.50163265	0.48064667	386.63991	1.5144896	1.3769189	-0.086022013	-0.32546234	1002746719.520334	1002746719	525077105
733	5.6803275	0.14310661	0.56398014	394.40938	1.5660669	1.5655486	0.085167438	-0.012076586	1026029727.627035	1026029727	641782641
736	6.2615737	0.42665915	0.57003035	267.94793	2.0012305	1.3829292	0.23218983	-0.0047008693	1031352122.937524	1031352122	946670294
737	3.1167526	-0.28651356	0.88649257	901.5214	2.6853452	2.4597026	-0.00016884947	-0.10557538	1014226065.128081	1014226065	126448393
759	3.2242959	1.155603	0.81360105	391.33566	2.7880778	2.7089904	-0.74542845	-0.12586538	1025664219.966344	1025664219	983885765
782	6.0799118	-0.28348083	0.21943161	365.82865	1.7045454	1.4735111	-0.22488679	-0.00021106877	1013597432.431951	1013597432	414562702
783	0.86073383	0.6182576	2.3811607	567.13464	2.8401097	2.4119607	-0.7900271	0.25600416	1027249999.580625	1027249999	601212382
