coinc_event_id	ifos	snr
57	H1,K1,L1	8.589606761712599
58	H1,L1,V1	9.432306504372232
59	H1,K1,L1,V1	9.598422212899864
60	H1,K1,L1	10.42252520310625
61	H1,L1,V1	9.700237195083472
62	H1,K1,V1	13.91746647254885
63	K1,L1,V1	8.970748545134356
64	K1,V1	8.377285228628669
65	H1,L1,V1	8.704698626745488
66	H1,K1,V1	8.231579453008184
67	H1,K1,L1,V1	10.86881242281249
68	H1,K1,L1,V1	9.140726315235941
69	H1,K1	8.905885917385902
70	H1,K1,V1	9.493841642980248
71	H1,K1,L1,V1	49.86874140603017
72	K1,V1	10.01458110706124
73	H1,L1,V1	8.569175572926277
74	H1,L1,V1	17.61747604327391
75	H1,L1,V1	9.787757134825345
76	H1,K1,L1,V1	8.342555382720837
77	H1,K1,L1	8.171560711439444
78	L1,V1	8.684145955107295
79	H1,K1,V1	9.015496778308147
80	H1,K1,L1,V1	14.40304360690881
81	H1,L1	8.466977376137303
82	H1,K1,L1,V1	9.445134497953223
83	H1,K1,L1,V1	10.82177406546763
84	H1,K1,L1	13.47428783403751
85	H1,K1,L1,V1	10.81809870246978
86	H1,K1,L1,V1	9.570471691365483
87	H1,K1,L1,V1	8.88399931043751
88	H1,K1,L1	8.605778424143745
89	H1	21.06116337282407
90	H1,K1,L1,V1	19.83685292081218
91	H1,K1,L1,V1	8.124550476412137
92	H1,K1,L1,V1	11.1378599859294
93	H1,K1,L1,V1	9.006440777015987
94	H1,K1,L1,V1	11.63245096168087
95	H1,K1,L1	8.048513632791623
96	H1,K1,L1,V1	10.50663704269901
97	H1,K1	12.23984914271354
98	K1,L1,V1	9.710493892702862
99	H1,K1,L1	9.020563811053538
100	H1,K1,L1,V1	8.939917045832825
101	H1,K1,L1,V1	9.584858869438095
102	K1,L1,V1	8.005240227457545
103	H1,K1,L1,V1	8.277127068733613
104	H1,K1,L1,V1	13.47297243389981
105	H1,K1,L1	9.475499568897016
106	H1,K1,L1,V1	8.977514071032246
107	H1,K1,L1	8.828020296137472
108	H1,L1,V1	8.796776143396146
109	H1,K1,L1,V1	8.793407823966749
110	H1,K1,V1	13.55995894128697
111	H1,K1,V1	10.90625476738643
112	H1,L1,V1	12.69658849881147
113	H1,K1,L1,V1	8.782211355664666
114	K1,L1,V1	8.717993554630608
115	H1,L1,V1	13.28249983379959
116	H1,K1,L1,V1	8.227315381736904
