simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
1253	4.2518199	1.1817336	2.3506886	1275.7901	8.6911459	2.846932	-0.00040306533	-0.16936533	1.3104088306427002	-0.5068749785423279	1010016120	707697988	1010016120.69779
1257	3.7244998	0.72712191	1.2578686	1366.7181	16.926706	3.2899475	-0.15426515	0.019795438	5.065506458282471	-0.2082493156194687	1009127690	68476200	1009127690.052702
1268	4.1394935	-0.97993761	2.9155627	1505.7237	4.2978172	3.0555476	0.0022043632	-0.16438132	1.7626242637634277	0.6629486680030823	1014084627	440236807	1014084627.460402
1318	4.7811354	0.75561544	0.63024692	2383.3659	17.640804	3.4907306	0.1896148	-0.010388966	5.710317134857178	0.3248857259750366	1006745556	664100289	1006745556.655491
1350	0.81032889	0.1318375	0.3971431	757.56563	14.029789	1.8641132	0.52058182	0.0030175329	5.52762508392334	-1.2916988134384155	1018418134	66051126	1018418134.075518
1356	5.4894007	-0.22076014	0.89573989	754.98467	9.5115457	2.165882	0.54547379	0.063073951	3.6568286418914795	-1.8892951011657715	1028317002	654187918	1028317002.671001
1388	4.5250767	-0.70461986	2.8472076	993.79482	7.5309741	2.0690702	-0.087461296	-0.067687373	1.7859458923339844	-1.14954674243927	1028127090	651697040	1028127090.672163
1511	3.566673	0.36371943	0.69440352	831.66361	14.60499	1.6817137	0.014944147	-0.20527564	1.0308811664581299	0.8661403656005859	1021731355	156390071	1021731355.163553
1575	6.1526957	-0.14535662	0.60393555	1947.7857	14.903955	1.7829118	-0.57174209	0.020859101	3.810896158218384	0.4690426290035248	1005309131	288005233	1005309131.29992
1601	2.5954408	-0.96504287	0.19903863	2612.6091	10.459331	3.1121147	-0.0063685172	0.11372801	1.8155285120010376	-2.4809231758117676	1018182843	248952508	1018182843.265104
1635	5.0247944	0.77859609	2.0129987	554.17469	7.8554446	2.291537	0.28868965	0.054244356	3.1370744705200195	2.087380886077881	1023254233	847510219	1023254233.833597
1672	4.785816	-1.2043007	1.0667684	1173.9894	8.5346812	3.2752973	0.046124	0.20912102	3.131188154220581	-1.9886020421981812	1000684085	439953566	1000684085.449664
1686	1.8429101	-0.70457621	2.3632161	2073.5091	15.31039	2.9620579	-0.024841311	-0.22750616	2.309427499771118	2.650836706161499	1024700079	796360612	1024700079.807328
1736	3.2936546	0.65170723	2.9231655	3645.2837	24.828823	3.8913615	0.46201759	-0.14964654	5.0758538246154785	-2.6528728008270264	1019021723	264918804	1019021723.246484
1746	0.35847638	1.3684187	2.2589129	1097.7454	15.944119	2.3056938	0.072983575	-0.24019104	3.1945319175720215	-0.5462460517883301	1016574926	370466352	1016574926.350615
1773	2.5582533	0.0071265599	0.91274962	907.04989	9.2696879	2.430618	0.17221171	-0.0022664725	3.985957384109497	2.3201987743377686	1000874917	764728	1000874917.013766
1784	4.7567896	0.069776716	0.5490386	1602.2681	18.595513	2.1410147	0.55159438	-0.1656395	4.611722469329834	1.3176491260528564	1015217390	182068229	1015217390.19077
1785	2.2845671	0.84194569	0.98718506	2394.562	7.7317297	2.4902709	-0.15256122	-0.035662281	5.462310791015625	1.939699649810791	1030976296	721942902	1030976296.707157
1803	2.1456557	0.58522957	2.7950081	2809.3736	17.690992	2.9129481	0.26230359	0.0222892	1.218055009841919	-1.0652756690979004	1006586412	159735084	1006586412.140195
1806	1.5188326	-0.23087918	2.60164	2189.3298	14.245262	3.3631419	0.0063204133	0.1801542	1.1609272956848145	2.6347570419311523	1020971661	119995594	1020971661.104248
1843	2.8877727	-0.20884708	0.49035842	2546.2369	10.243672	1.996887	-0.52184887	-0.18255102	3.0108802318573	-0.18298302590847015	1022032854	347259045	1022032854.330148
1850	2.378658	-0.61114059	2.6483094	1488.7931	14.718264	2.4223282	0.018645735	0.0020781198	0.33066463470458984	-1.6092935800552368	1000892048	341801882	1000892048.351881
1925	2.033925	0.63972157	1.2350104	887.45112	3.5667313	2.6171395	0.36763777	-0.083103493	4.617969036102295	1.8983359336853027	1013818419	771554947	1013818419.75186
1936	0.30860949	0.72077903	2.0264961	739.25593	12.612287	2.2679226	0.025133902	0.0099245954	0.7615179419517517	-2.3981924057006836	1000463552	623632908	1000463552.606083
1992	5.3811128	-0.12690926	1.7470455	492.97158	7.8528414	1.6216991	-0.0088856411	-0.0025335961	1.4894938468933105	-0.7000728845596313	1003551545	847466826	1003551545.846404
2004	1.2473411	0.6319943	2.8896277	2269.5353	10.918878	3.5639447	-0.58298512	-0.45622625	1.1003665924072266	-2.7930538654327393	1002951737	47536492	1002951737.033393
