coinc_event_id	ifos	snr
205	H1,K1,L1,V1	15.79120098643468
206	H1,K1,L1,V1	8.394158831691904
207	H1,K1,L1,V1	15.97422984074107
208	H1,K1,L1,V1	8.338912444484713
209	H1,K1,L1,V1	14.42432875580816
210	H1,K1,L1,V1	10.61812002891661
211	H1,L1	14.88580119106545
212	H1,L1,V1	14.64941930958631
213	H1,K1,L1,V1	8.908645637746833
214	H1,K1,L1	10.61770100663629
215	H1,K1,L1	9.068121103986025
216	H1,K1,L1,V1	8.865620350851918
217	H1,K1,L1,V1	8.477807151504873
218	H1,K1,L1,V1	16.79315712861351
219	H1,K1,L1,V1	8.239526430015637
220	H1,K1,V1	8.21518626512696
221	H1,L1,V1	10.91485994756215
222	H1,K1,L1,V1	14.10731399728282
223	H1,L1,V1	13.66837913267604
224	H1,K1,L1,V1	22.22278850931174
225	H1,K1,L1,V1	8.072346296605454
226	H1,L1,V1	12.98875346605306
227	H1,L1,V1	9.464253595024314
228	H1,L1,V1	8.852166171048436
229	H1,K1,V1	9.869187029951021
230	H1,K1,L1,V1	8.786844415411414
231	H1,K1,L1,V1	9.102891937899839
232	H1,K1,L1	11.41420467680444
233	H1,K1,L1,V1	8.205370946771357
234	H1,K1,V1	13.59767476366347
235	H1,K1,L1,V1	9.319963484496737
236	H1,L1,V1	12.26718280952501
237	H1,K1,L1,V1	8.522456797487663
238	H1,K1,L1,V1	8.105612632284693
239	H1,K1,L1,V1	20.3354405262007
240	K1,L1	11.08765724143481
241	H1,L1,V1	17.3902265373394
242	H1,L1,V1	8.702230205969
243	H1,K1,V1	12.72708025483599
244	H1,K1,V1	9.229943817435155
245	H1,V1	12.89842940959345
246	H1,L1,V1	8.300251564351237
247	H1,K1,L1,V1	8.915341845170209
248	H1,K1,L1,V1	11.31319814908123
249	K1,L1,V1	10.80418207374425
250	H1,K1	8.299393622413827
251	H1,K1,L1,V1	12.31135647373416
252	H1,K1,L1,V1	9.049124340145022
253	H1,K1,L1,V1	12.01992347901404
254	H1,K1,L1,V1	11.08465686076559
255	H1,K1,L1,V1	18.78952855604554
256	H1,K1,L1,V1	19.88504961343623
257	H1,K1,L1	9.578243563395691
258	H1,K1,L1,V1	10.40352655228038
259	H1,K1,L1,V1	10.12266225009041
260	H1,L1,V1	8.380010034279426
261	L1,V1	11.2716988791053
262	H1,K1,L1,V1	8.349266018406903
263	H1,K1,L1	24.57483548031586
264	H1,K1,L1,V1	8.108752323114716
265	H1,K1,L1,V1	9.224537893913601
266	H1,K1,L1,V1	11.24874150817675
267	H1,K1,L1	8.292304124378095
268	H1,K1,L1,V1	8.083781829018143
269	H1,K1,L1,V1	11.72876605018131
270	H1,L1,V1	8.005504629795633
271	H1,K1,L1,V1	8.217131862640047
272	H1,K1,L1,V1	8.017249768709869
273	H1,K1,L1,V1	17.78507864810762
274	K1,L1,V1	9.476744818738666
275	H1,V1	9.415238762658547
276	H1,K1,L1	8.763839082112268
277	H1,K1,L1	8.138857660217651
278	H1,K1,L1,V1	8.78303006092403
279	H1,K1,L1,V1	12.23475355458758
280	H1,L1,V1	13.97839742047733
